,id,school_f,age,gender_f,group_f,gpa,grit,swb
1,1,Jefferson High School,19.88369369,Female,Control,79.76012903,2.898084397,5.106772363
2,2,Jefferson High School,16.94503433,Female,Self-esteem,80.14016389,3.6179648,6.758730672
3,3,Jefferson High School,13.16078813,Male,Growth Mindset,86.96171424,4.949422328,4.889811098
4,4,Jefferson High School,18.09775854,Female,Control,84.52942464,2.402638403,5.281441208
5,5,Alta High School,17.70996514,Female,Self-esteem,83.07087984,3.570908793,6.07664763
6,6,Alta High School,17.16788566,Female,Growth Mindset,85.55291534,4.726908947,5.095282038
7,7,Jefferson High School,15.98405276,Male,Control,79.98687733,2.92922549,5.270471227
8,8,Alta High School,16.61810286,Male,Self-esteem,87.84317449,3.613603771,7.341876505
9,9,Alta High School,17.31377431,Male,Growth Mindset,86.15912057,4.474089114,5.262786392
10,10,Alta High School,13.69810726,Male,Control,83.78953028,3.363848377,5.187353743
11,11,Summerfield High School,14.98242696,Male,Self-esteem,87.41515606,3.319735611,6.416682957
12,12,Alta High School,14.48875782,Female,Growth Mindset,88.83099471,3.982236975,5.90968894
13,13,Summerfield High School,14.90059396,Male,Control,80.23483439,3.473261386,5.142702503
14,14,Summerfield High School,15.90281913,Male,Self-esteem,82.87999512,3.587074672,6.499056928
15,15,Alta High School,17.26019902,Female,Growth Mindset,86.0231601,4.943098635,4.972017065
16,16,Summerfield High School,16.99393463,Female,Control,85.18315135,3.739422265,4.77339634
17,17,Jefferson High School,18.42892197,Female,Self-esteem,82.5513393,3.681260416,6.863946578
18,18,Alta High School,18.13794982,Female,Growth Mindset,92.14995015,3.938803988,5.828052843
19,19,Summerfield High School,17.65752231,Female,Control,79.81516239,3.550309772,4.723091072
20,20,Summerfield High School,17.52281127,Female,Self-esteem,81.05864825,4.991038355,5.982837066
21,21,Jefferson High School,15.17753696,Male,Growth Mindset,87.92939648,4.383089291,6.287146566
22,22,Jefferson High School,16.91144292,Female,Control,81.57256594,3.693499565,4.980312119
23,23,Summerfield High School,16.30901819,Male,Self-esteem,81.48664543,3.73595743,5.996914437
24,24,Alta High School,15.83039685,Male,Growth Mindset,82.75580957,5.039478363,5.313699531
25,25,Alta High School,13.63568194,Female,Control,81.59019926,3.559201395,5.01254062
26,26,Alta High School,16.48328317,Male,Self-esteem,80.8502699,3.327542339,7.591717709
27,27,Jefferson High School,16.87777984,Male,Growth Mindset,90.74783287,4.623506046,5.236567082
28,28,Alta High School,14.29558166,Male,Control,78.64194364,3.047230449,5.348258189
29,29,Jefferson High School,17.94665215,Male,Self-esteem,86.37944819,4.016394206,6.788751429
30,30,Jefferson High School,17.9653125,Male,Growth Mindset,85.55287095,3.968116572,5.129928125
31,31,Alta High School,17.27021396,Female,Control,82.37741024,3.949512733,5.857334569
32,32,Alta High School,10.84696206,Male,Self-esteem,85.69610817,3.712709034,6.878150265
33,33,Summerfield High School,14.27810502,Male,Growth Mindset,85.94377293,4.307837688,4.838613308
34,34,Jefferson High School,17.5101602,Female,Control,83.16331566,3.224058687,5.426774312
35,35,Jefferson High School,14.11474038,Female,Self-esteem,82.73607899,3.450110746,6.143142975
36,36,Jefferson High School,16.59750903,Male,Growth Mindset,84.09436121,3.990058113,4.855691105
37,37,Alta High School,15.65750645,Male,Control,80.68976117,2.602410734,5.13607694
38,38,Jefferson High School,18.52728586,Male,Self-esteem,87.85936963,3.076706888,6.452393683
